epoch,accuracy,loss,val_accuracy,val_loss
0,0.3880431652069092,1.313512921333313,0.4438040256500244,1.2668291330337524
1,0.6786603927612305,0.9339883327484131,0.6311239004135132,0.9224492907524109
2,0.7976750731468201,0.5642290711402893,0.7175792455673218,0.7542048096656799
3,0.8474951386451721,0.42091405391693115,0.7089337110519409,0.7547716498374939
4,0.874896228313446,0.34130117297172546,0.6829971075057983,0.807513415813446
5,0.8962081670761108,0.2857038676738739,0.7060518860816956,0.8647537231445312
6,0.924162745475769,0.2341686636209488,0.7175792455673218,0.9051855802536011
7,0.9391087889671326,0.198489710688591,0.6945244669914246,0.9452431797981262
8,0.94768887758255,0.17166464030742645,0.7089337110519409,1.0223807096481323
9,0.9526709318161011,0.15568891167640686,0.7089337110519409,1.0369329452514648
10,0.9629117250442505,0.13436259329319,0.6858789920806885,1.1096283197402954
11,0.9631884694099426,0.11951450258493423,0.6887608170509338,1.1759984493255615
12,0.9692776203155518,0.106245256960392,0.6829971075057983,1.200752854347229
13,0.9684472680091858,0.1030537560582161,0.6829971075057983,1.2768864631652832
14,0.9692776203155518,0.09555547684431076,0.6916426420211792,1.298553228378296
15,0.9717686176300049,0.09614783525466919,0.6916426420211792,1.2658511400222778
16,0.972875714302063,0.08883395045995712,0.6916426420211792,1.3339886665344238
17,0.972875714302063,0.08424409478902817,0.6858789920806885,1.3580414056777954
18,0.9759202599525452,0.07949456572532654,0.6829971075057983,1.3532350063323975
19,0.9759202599525452,0.0762854665517807,0.6916426420211792,1.3807196617126465
20,0.975089967250824,0.07502743601799011,0.6945244669914246,1.4040371179580688
21,0.9761970639228821,0.07262219488620758,0.6772334575653076,1.4638954401016235
22,0.9745364189147949,0.07080723345279694,0.6829971075057983,1.4578121900558472
23,0.977027416229248,0.0698140412569046,0.6916426420211792,1.4326375722885132
24,0.9767506122589111,0.06799264997243881,0.6714697480201721,1.4584345817565918
